Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
11/17/1980,"Annanberg, Papua New Guinea",-6.314993,143.95555,Provincial Air Services,,Britten-Norman BN-2A Trislander,4,4,0
11/19/1980,"Seoul, South Korea",37.5518911,126.9917937,Korean Airlines,Anchorage - Seoul,Boeing B-747-2B5B,226,15,0
11/24/1980,"Near Medellin, Colombia",6.2476376,-75.5658153,F.R. de la Direccion General de Ados,,Douglas C-47A-35-DL,20,20,0
11/28/1980,"Pecos City, Texas",31.4229124,-103.4932293,Central Air Services,,Douglas DC-7B,2,2,0
12-05-1980,"Dar es Salaam, Tanzania",-6.792354,39.2083284,Tanzania Aviation,Dodoma - Dar es Salaam,Piper PA-42 Cheyenne,10,10,0
12-07-1980,"Michigan City, IN",41.7075394,-86.8950297,Queen Airmotive - Air Taxi,"Chicago, IL - Michigan City, IL",Beechcraft B90,4,4,0
12-12-1980,"Cold Bay, Alaska",55.2062621,-162.7174221,Penninsula Airways - Air Taxi,"King Cove, AK - Cold Bay, AK",Piper PA-32,4,4,0
12/16/1980,"Tumut,, Australia",-35.3108658,148.231162,Eagle Airways,,Britten-Norman BN-2A Trislander,2,2,0
08/27/1981,"Mt. Elena, Colombia",4.570868,-74.297333,Aeropesca Colombia,Florence - Neiva,Vickers Viscount 745D,50,50,0
01/20/1981,"Spokane, Washington",47.6587802,-117.4260466,Cascade Airways,Moses Lake - Spokane,Beechcraft 99A,9,7,0
01/27/1981,"Winnemucca, Nevada",40.9729584,-117.7356849,Orcon Inc. - Air Taxi,"Reno, NV - Winnemucca, NV",Aero Commander 681,3,2,0
02-07-1981,"Near Leningrad, Russia",59.9342596,30.3350941,Military - Soviet Navy,,Tupolev TU-104A,52,52,0
02-10-1981,"Houma, Louisiana",29.5957696,-90.7195348,Walker - Watts Aviation - Air Taxi,"New Orleans, LA - Houma, LA",Cessna 310R,4,4,0
02-11-1981,"White Plains, New York",41.0339862,-73.7629097,Private - Corporate,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,8,8,0
02/22/1981,"Avalon, California",33.3428193,-118.3282279,Helicopter - Air Taxi,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,8,2,0
02/24/1981,"Belem, Brazil",-1.4563432,-48.501299,VOTEC,Tucurui - Belem,Embraer 110P Bandeirante,14,11,0
